date,country,cases,deaths,recovered,cases_daily,deaths_daily,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-02-06,Brazil,0,0,0,0,0,24.496250000000003,28.585000000000004,0.9970833333333333,34.01,24.772499999999997,0.9970833333333333,97.68124999999999,229.58333333333334,409.0416666666667,154.98583333333332,210.625,74.875,0.8791666666666665,96938.94916666661,0.805,0.3175,0.0
2020-02-07,Brazil,0,0,0,0,0,22.895000000000007,26.743750000000002,1.4574999999999998,32.36333333333334,23.847499999999997,1.4574999999999998,298.63624999999996,66.45833333333333,418.1666666666667,10.488750000000003,11.625,56.25,0.9562499999999999,96832.50791666667,0.9991666666666666,1.2570833333333333,0.0
2020-02-08,Brazil,0,0,0,0,0,22.453333333333333,24.837083333333336,2.1633333333333336,31.613333333333326,23.3875,2.1633333333333336,331.4541666666666,93.79166666666667,416.3333333333333,31.300416666666667,36.25,62.791666666666664,0.9629166666666666,96899.77625,0.9979166666666665,1.225,0.0
2020-02-09,Brazil,0,0,0,0,0,22.472916666666663,24.330000000000002,1.4879166666666668,31.200833333333332,23.05791666666667,1.4879166666666668,204.09958333333336,105.5,410.9583333333333,18.42583333333333,25.666666666666668,87.375,0.9362499999999999,97136.12916666667,0.9866666666666668,1.2279166666666668,0.0
2020-02-10,Brazil,0,0,0,0,0,24.723333333333333,26.988749999999996,1.2308333333333332,34.517500000000005,24.89041666666667,1.2308333333333332,120.05624999999998,262.375,415.5833333333333,188.20791666666665,244.08333333333334,74.41666666666667,0.8879166666666665,97090.35791666668,0.8437500000000001,0.38333333333333325,0.0
2020-02-11,Brazil,0,0,0,0,0,25.545416666666664,29.413749999999993,1.1166666666666665,35.57875000000001,25.907083333333333,1.1166666666666665,97.87583333333335,268.7083333333333,413.4583333333333,210.28166666666667,294.5,58.666666666666664,0.8566666666666666,96899.27833333332,0.6479166666666666,0.3516666666666666,0.0
2020-02-12,Brazil,0,0,0,0,0,23.389166666666664,27.76291666666666,1.0416666666666663,32.90083333333333,24.552083333333332,1.0416666666666663,205.91416666666672,112.33333333333333,415.8333333333333,17.07083333333333,22.25,95.45833333333333,0.9329166666666667,96871.08041666668,0.9908333333333333,1.0829166666666665,0.0
2020-02-13,Brazil,0,0,0,0,0,25.151666666666667,28.673333333333332,0.9587499999999999,34.737500000000004,25.171666666666663,0.9587499999999999,98.7958333333333,269.3333333333333,411.0,205.62958333333336,273.875,63.916666666666664,0.8541666666666666,96862.84250000001,0.7395833333333331,0.09875,0.0
2020-02-14,Brazil,0,0,0,0,0,26.60666666666667,30.73875,0.9658333333333332,37.065000000000005,25.843333333333334,0.9658333333333332,118.38458333333334,279.5,413.2083333333333,222.60708333333335,297.6666666666667,57.166666666666664,0.8275000000000001,96801.66458333332,0.4470833333333333,0.058750000000000004,0.0
2020-02-15,Brazil,0,0,0,0,0,24.84833333333333,30.168333333333326,1.26875,34.624166666666675,25.11708333333333,1.26875,83.84750000000001,244.04166666666666,406.375,175.71791666666664,246.125,68.5,0.8741666666666669,96819.86291666665,0.5316666666666666,0.3616666666666666,0.0
2020-02-16,Brazil,0,0,0,0,0,26.242083333333337,30.692083333333333,1.9275000000000002,35.576666666666675,25.68499999999999,1.9275000000000002,52.06166666666666,295.0833333333333,407.1666666666667,249.54166666666666,344.4583333333333,45.791666666666664,0.7962499999999998,96802.00625000002,0.6316666666666667,0.01375,0.0
2020-02-17,Brazil,0,0,0,0,0,26.201666666666668,30.980416666666674,1.5279166666666668,35.53333333333334,25.98374999999999,1.5279166666666668,68.30416666666666,276.75,409.625,225.2720833333334,316.5416666666667,51.791666666666664,0.7904166666666668,96768.01083333335,0.7204166666666666,0.02083333333333334,0.0
2020-02-18,Brazil,0,0,0,0,0,24.738333333333333,29.785416666666666,1.5812499999999996,34.28666666666667,25.25333333333333,1.5812499999999996,97.48083333333335,214.04166666666666,414.0416666666667,139.63625000000005,200.54166666666666,74.75,0.8624999999999999,96800.16458333336,0.81875,0.4808333333333332,0.0
2020-02-19,Brazil,0,0,0,0,0,25.928749999999997,29.974999999999998,0.9579166666666667,36.458333333333336,25.8875,0.9579166666666667,93.72874999999999,224.875,414.75,145.69416666666666,209.83333333333334,79.41666666666667,0.8625000000000002,96677.67208333331,0.9820833333333332,0.3820833333333333,0.0
2020-02-20,Brazil,0,0,0,0,0,23.567083333333333,28.165416666666662,1.5250000000000001,33.415416666666665,24.852916666666673,1.5250000000000001,97.90250000000002,166.41666666666666,419.2916666666667,47.971666666666664,63.458333333333336,118.66666666666667,0.9408333333333333,96752.03166666669,0.9954166666666665,1.0962499999999997,0.0
2020-02-21,Brazil,0,0,0,0,0,23.867500000000003,27.484166666666663,1.3795833333333336,33.25125,24.450000000000003,1.3795833333333336,209.73791666666668,167.70833333333334,415.1666666666667,59.35041666666668,77.20833333333333,108.66666666666667,0.9029166666666669,96879.12291666667,0.9979166666666665,0.24749999999999986,0.0
2020-02-22,Brazil,0,0,0,0,0,24.302083333333332,27.92416666666666,0.8400000000000002,34.14166666666666,24.756666666666664,0.8400000000000002,144.4554166666667,208.16666666666666,415.3333333333333,124.69500000000001,175.16666666666666,83.70833333333333,0.9054166666666666,96986.73041666664,0.9566666666666667,0.46875000000000006,0.0
2020-02-23,Brazil,0,0,0,0,0,24.57791666666667,28.92375000000001,0.9283333333333333,34.485416666666666,25.410833333333333,0.9283333333333333,151.04791666666665,253.41666666666666,408.9583333333333,172.06541666666666,229.04166666666666,81.625,0.895,96973.59166666667,0.97625,0.31916666666666665,0.0
2020-02-24,Brazil,0,0,0,0,0,25.257500000000004,29.43291666666666,1.4404166666666667,35.194583333333334,25.137499999999992,1.4404166666666667,126.94791666666669,231.79166666666666,415.75,154.66166666666666,201.25,77.375,0.8666666666666667,96850.17833333333,0.860833333333333,0.12208333333333334,0.0
2020-02-25,Brazil,0,0,0,0,0,24.72791666666667,29.19208333333334,1.219166666666667,34.95083333333333,25.404583333333335,1.219166666666667,116.27083333333333,214.04166666666666,414.125,102.12833333333333,148.91666666666666,112.25,0.90125,96871.02500000001,0.9645833333333332,0.20291666666666663,0.0
