date,country,cases,deaths,recovered,cases_daily,deaths_daily,logInfection,logDeaths,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-02-29,USA,25,1,7,8,1,3.2188758248682006,0.0,23.858333333333338,28.181250000000006,0.8458333333333333,33.79708333333333,24.88791666666667,0.8458333333333333,254.73208333333332,178.375,415.625,66.25208333333335,107.75,112.41666666666667,0.9325,97080.63958333332,0.9791666666666665,0.20875,0.0
2020-03-01,USA,32,1,7,7,0,3.4657359027997265,0.0,24.382083333333338,28.294583333333335,0.7616666666666666,34.59666666666667,24.941666666666674,0.7616666666666666,136.99416666666664,193.33333333333334,413.0416666666667,95.86125000000004,129.79166666666666,97.70833333333333,0.9179166666666668,96974.6675,0.9575,0.4733333333333334,0.0
2020-03-02,USA,55,6,7,23,5,4.007333185232471,1.791759469228055,23.99666666666667,27.468749999999996,1.3862499999999995,34.440000000000005,24.681249999999995,1.3862499999999995,275.52666666666664,126.75,417.1666666666667,27.096666666666675,32.416666666666664,99.95833333333333,0.9495833333333331,96897.64083333331,0.9983333333333334,0.7195833333333334,0.0
2020-03-03,USA,74,7,7,19,1,4.30406509320417,1.9459101490553132,23.93708333333333,26.463333333333335,1.7300000000000002,34.16291666666667,24.374583333333337,1.7300000000000002,319.29666666666657,124.375,417.4166666666667,56.34041666666667,95.5,68.20833333333333,0.9420833333333333,96913.04458333335,0.9683333333333333,0.7187499999999999,0.0
2020-03-04,USA,107,11,7,33,4,4.672828834461906,2.3978952727983707,24.83416666666666,27.51625000000001,1.320833333333333,34.71791666666666,25.132500000000004,1.320833333333333,263.72875,214.875,414.6666666666667,124.04458333333334,166.83333333333334,91.125,0.8825,97025.75124999999,0.7933333333333333,0.14208333333333334,0.0
2020-03-05,USA,184,12,7,77,1,5.214935757608986,2.4849066497880004,24.42583333333333,27.84708333333334,1.1983333333333335,34.67250000000001,24.940416666666675,1.1983333333333335,117.04458333333334,167.79166666666666,414.0,74.84833333333334,111.83333333333333,93.125,0.9183333333333334,97016.83541666668,0.8550000000000001,0.5483333333333332,0.0
2020-03-06,USA,237,14,7,53,2,5.4680601411351315,2.6390573296152584,23.79666666666667,26.99333333333333,1.418333333333333,33.56791666666667,24.579583333333332,1.418333333333333,275.8575,139.20833333333334,414.7083333333333,46.72833333333333,63.25,92.75,0.9241666666666665,96983.32166666667,0.9845833333333331,0.6570833333333332,0.0
2020-03-07,USA,403,17,7,166,3,5.998936561946683,2.833213344056216,25.17125,27.930833333333336,1.0512500000000002,35.43083333333333,25.23875,1.0512500000000002,255.21,210.75,415.7916666666667,127.37416666666667,173.54166666666666,83.70833333333333,0.8833333333333332,96803.36958333333,0.914583333333333,0.4575000000000001,0.0
2020-03-08,USA,519,21,7,116,4,6.251903883165888,3.044522437723423,24.202916666666667,27.737083333333334,1.3591666666666666,34.170833333333334,24.857083333333335,1.3591666666666666,251.91208333333336,156.125,416.7083333333333,51.82083333333333,59.791666666666664,104.54166666666667,0.9166666666666665,96887.60166666667,0.9983333333333334,0.7816666666666666,0.0
2020-03-09,USA,594,22,7,75,1,6.386879319362645,3.091042453358316,25.051666666666666,27.978333333333335,0.9887500000000004,35.33708333333334,24.929999999999996,0.9887500000000004,241.0979166666667,182.16666666666666,415.3333333333333,106.47666666666667,146.29166666666666,75.95833333333333,0.8895833333333334,96947.08874999998,0.7850000000000001,0.5750000000000001,0.0
