date,country,cases,deaths,recovered,cases_daily,deaths_daily,logInfection,logDeaths,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-11-01,India,8229313,122607,7544798,45231,496,15.923213094077884,11.71673939710228,23.921666666666667,27.228749999999994,1.7220833333333332,33.00458333333333,24.685000000000002,1.7220833333333332,204.62250000000003,179.0,414.2083333333333,96.96624999999999,126.375,82.33333333333333,0.8820833333333332,96716.47374999996,0.8933333333333332,0.6516666666666667,0.0
2020-11-02,India,8267623,123097,7603121,38310,490,15.927857601259923,11.720727941445038,24.319166666666664,27.137083333333337,2.0654166666666662,32.93,24.486666666666665,2.0654166666666662,285.1420833333333,166.0,413.0,70.89250000000001,100.125,95.375,0.83875,96680.84541666669,0.8791666666666665,0.06166666666666668,0.0
2020-11-03,India,8313876,123611,7656478,46253,514,15.93343648408162,11.724894816809504,25.16208333333333,28.25458333333333,1.8220833333333335,33.89833333333333,25.273749999999996,1.8220833333333335,243.44958333333332,233.66666666666666,408.6666666666667,154.25416666666666,203.625,79.625,0.8049999999999998,96718.41249999998,0.9391666666666666,0.06583333333333333,0.0
2020-11-04,India,8364086,124315,7711809,50210,704,15.939457621639445,11.730573946002458,25.086250000000003,28.760833333333338,1.1704166666666664,34.0725,25.12750000000001,1.1704166666666664,216.95416666666674,234.41666666666666,405.7916666666667,152.2375,217.625,82.41666666666667,0.82375,96800.33583333332,0.7516666666666666,0.35625,0.0
2020-11-05,India,8411724,124985,7765966,47638,670,15.945137004995418,11.735949009083862,26.046666666666663,29.855416666666667,1.2850000000000001,35.56833333333333,25.872916666666665,1.2850000000000001,105.41250000000001,259.7083333333333,406.1666666666667,194.78166666666664,281.1666666666667,65.125,0.8104166666666668,96636.11916666666,0.77375,0.19000000000000003,0.0
2020-11-06,India,8462080,125562,7819886,50356,577,15.951105564247241,11.740554939468725,24.819166666666664,29.341250000000002,1.8275,34.005833333333335,25.3075,1.8275,226.97958333333338,237.20833333333334,405.75,166.19708333333335,224.75,71.25,0.8470833333333335,96753.50166666665,0.9620833333333333,0.6887500000000002,0.0
2020-11-07,India,8507754,126121,7868968,45674,559,15.956488540920919,11.744997042584112,25.50708333333333,29.652083333333326,2.535833333333333,33.513333333333335,25.571666666666662,2.535833333333333,87.62708333333332,302.25,402.0,251.69499999999996,339.0,50.875,0.7583333333333332,96934.82166666667,0.7529166666666667,0.004166666666666667,0.0
2020-11-08,India,8553657,126611,7917373,45903,490,15.961869468765364,11.748874672753386,26.417083333333334,30.273750000000003,2.3699999999999997,34.8575,25.7,2.3699999999999997,101.33041666666668,264.5833333333333,401.9583333333333,207.65291666666664,303.6666666666667,57.125,0.7366666666666667,96868.80124999997,0.5741666666666668,0.036666666666666674,0.0
2020-11-09,India,8591730,127059,7959406,38073,448,15.966310670656014,11.752406824492056,26.646666666666665,30.668749999999992,1.1116666666666664,36.104166666666664,25.896250000000006,1.1116666666666664,189.69208333333333,254.79166666666666,405.1666666666667,171.09666666666666,237.54166666666666,83.91666666666667,0.7775000000000002,96840.91875000001,0.8087499999999999,0.037083333333333336,0.0
2020-11-10,India,8636011,127571,8013783,44281,512,15.971451344353865,11.756428351335193,26.207499999999996,30.653750000000002,1.144166666666667,35.834583333333335,26.067083333333333,1.144166666666667,225.14666666666668,262.875,409.7083333333333,182.18500000000003,234.20833333333334,81.0,0.8133333333333335,96868.60541666666,0.94875,0.05000000000000001,0.0
2020-11-11,India,8683916,128121,8066501,47905,550,15.976983136971768,11.760730408875276,27.562916666666666,31.61958333333334,1.9225000000000003,36.00833333333333,26.783749999999994,1.9225000000000003,131.89625000000004,281.7083333333333,401.9166666666667,226.61125,319.5,55.291666666666664,0.7112500000000002,96768.18625000001,0.6991666666666667,0.0004166666666666667,0.0
2020-11-12,India,8728795,128668,8115580,44879,547,15.982137888506438,11.764990722419466,25.541666666666657,30.479166666666668,1.4287499999999997,34.22416666666667,26.285416666666674,1.4287499999999997,245.45999999999992,271.4166666666667,403.125,217.29999999999995,311.0,54.333333333333336,0.7891666666666667,96746.27999999998,0.6087500000000001,0.24833333333333332,0.0
2020-11-13,India,8773479,129188,8163572,44684,520,15.987243978958912,11.769023986760127,25.640416666666667,30.570833333333336,0.9933333333333336,35.09458333333334,26.2075,0.9933333333333336,220.01958333333334,259.125,411.1666666666667,189.32666666666668,264.625,69.95833333333333,0.8224999999999999,96781.60791666668,0.7020833333333334,0.16208333333333333,0.0
2020-11-14,India,8814579,129635,8205728,41100,447,15.991917613172735,11.772478088168603,26.645,30.914583333333336,1.2825,35.65708333333334,25.95833333333333,1.2825,112.02666666666669,230.625,407.4583333333333,114.40249999999999,161.66666666666666,116.41666666666667,0.7629166666666666,96720.07958333334,0.9750000000000001,0.01,0.0
2020-11-15,India,8845127,130070,8249579,30548,435,15.995377243867516,11.775828046057786,26.158749999999998,30.51166666666667,1.20875,35.464166666666664,26.10083333333333,1.20875,123.02458333333334,244.83333333333334,413.4166666666667,173.95708333333334,247.45833333333334,71.125,0.7891666666666667,96703.78208333331,0.8683333333333333,0.40166666666666667,0.0
2020-11-16,India,8874290,130519,8290370,29163,449,15.998668890125582,11.779274089016859,23.355000000000004,27.870833333333334,1.6137499999999998,32.415416666666665,24.60333333333334,1.6137499999999998,166.50833333333335,124.375,417.2916666666667,17.120833333333326,21.625,107.58333333333333,0.9079166666666666,96802.47708333332,0.9991666666666665,0.5166666666666667,0.0
2020-11-17,India,8912907,130993,8335109,38617,474,16.00301100886118,11.782899165641078,25.16208333333333,28.301666666666673,1.0733333333333335,34.278749999999995,25.052916666666665,1.0733333333333335,194.80125000000007,237.95833333333334,406.0833333333333,161.48166666666668,219.16666666666666,76.75,0.8316666666666667,96644.59500000002,0.7245833333333332,0.007083333333333333,0.0
2020-11-18,India,8958483,131578,8383602,45576,585,16.008111462581176,11.787355110646068,24.655,28.51375,2.0833333333333335,33.87291666666666,25.242916666666673,2.0833333333333335,228.00458333333333,213.70833333333334,408.7916666666667,121.68750000000001,155.25,92.33333333333333,0.8537499999999999,96643.91208333331,0.9929166666666666,0.4270833333333332,0.0
2020-11-19,India,9004365,132162,8428409,45882,584,16.013220017726006,11.791783721812212,24.77208333333333,28.12958333333334,1.155,34.06791666666666,24.93291666666667,1.155,214.23333333333326,166.25,412.2083333333333,56.45625000000001,67.45833333333333,109.95833333333333,0.8533333333333335,96792.28666666668,0.9870833333333334,0.20958333333333332,0.0
